movie_id,title,release_date,genres
1700,Misery,1990-11-30,"['Drama', 'Thriller']"
769,GoodFellas,1990-09-12,"['Drama', 'Crime']"
1375,Rocky V,1990-11-16,['Drama']
169,Predator 2,1990-11-21,"['Science Fiction', 'Action', 'Thriller']"
861,Total Recall,1990-06-01,"['Action', 'Adventure', 'Science Fiction']"
242,The Godfather Part III,1990-12-25,"['Crime', 'Drama', 'Thriller']"
39323,Dragon Ball Z: Bardock - The Father of Goku,1990-10-17,"['Animation', 'Action', 'Science Fiction', 'Drama', 'Fantasy']"
251,Ghost,1990-07-13,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']"
162,Edward Scissorhands,1990-12-07,"['Fantasy', 'Drama', 'Romance']"
114,Pretty Woman,1990-03-23,"['Comedy', 'Romance']"
1573,Die Hard 2,1990-07-03,"['Action', 'Thriller']"
5549,RoboCop 2,1990-06-22,"['Action', 'Adventure', 'Crime', 'Science Fiction', 'Thriller']"
196,Back to the Future Part III,1990-05-25,"['Adventure', 'Comedy', 'Science Fiction']"
11092,Presumed Innocent,1990-07-27,"['Mystery', 'Crime', 'Thriller']"
9362,Tremors,1990-01-19,"['Horror', 'Action', 'Science Fiction', 'Comedy']"
11186,Child's Play 2,1990-11-09,"['Horror', 'Thriller']"
581,Dances with Wolves,1990-03-30,"['Adventure', 'Drama', 'Western']"
39100,Dragon Ball Z: The World's Strongest,1990-03-10,"['Action', 'Animation', 'Science Fiction']"
19384,Dark Angel,1990-01-26,"['Action', 'Thriller', 'Science Fiction', 'Crime', 'Horror']"
39101,Dragon Ball Z: The Tree of Might,1990-06-07,"['Action', 'Animation', 'Science Fiction']"
9399,Lionheart,1990-06-07,['Action']
928,Gremlins 2: The New Batch,1990-06-15,"['Comedy', 'Horror', 'Fantasy']"
1498,Teenage Mutant Ninja Turtles,1990-03-30,"['Science Fiction', 'Action', 'Adventure', 'Comedy', 'Family']"
1669,The Hunt for Red October,1990-03-02,"['Action', 'Adventure', 'Thriller']"
1727,Bird on a Wire,1990-05-18,"['Action', 'Adventure', 'Comedy', 'Romance']"
11077,Problem Child,1990-07-27,"['Comedy', 'Family']"
25018,Leatherface: The Texas Chainsaw Massacre III,1990-01-12,"['Horror', 'Thriller']"
10837,DuckTales: The Movie - Treasure of the Lost Lamp,1990-08-03,"['Adventure', 'Animation', 'Family', 'Comedy', 'Fantasy']"
17466,Death Warrant,1990-09-14,"['Action', 'Crime', 'Thriller', 'Mystery']"
11587,The Exorcist III,1990-08-17,"['Horror', 'Mystery']"
53932,The Ages of Lulu,1990-12-03,['Drama']
58553,Porno,1990-01-26,"['Comedy', 'Romance']"
1551,Flatliners,1990-08-10,"['Drama', 'Science Fiction', 'Horror']"
17993,Henry & June,1990-09-28,['Romance']
2119,Days of Thunder,1990-06-27,"['Adventure', 'Action', 'Drama']"
11005,Awakenings,1990-12-04,['Drama']
11673,Cyrano de Bergerac,1990-03-28,"['Drama', 'Comedy', 'History', 'Romance']"
6723,The Rookie,1990-12-07,"['Action', 'Crime', 'Drama', 'Thriller']"
9569,Hard to Kill,1990-02-09,"['Action', 'Drama']"
9322,La Femme Nikita,1990-02-21,"['Action', 'Thriller']"
10166,The Witches,1990-05-25,"['Fantasy', 'Family', 'Horror']"
2291,Jacob's Ladder,1990-11-02,"['Drama', 'Mystery', 'Horror']"
41003,White Palace,1990-10-19,"['Drama', 'Romance']"
9768,Cry-Baby,1990-04-06,"['Comedy', 'Romance']"
34636,The NeverEnding Story II: The Next Chapter,1990-10-25,"['Family', 'Fantasy', 'Adventure']"
11595,Another 48 Hrs.,1990-06-08,"['Thriller', 'Action', 'Comedy', 'Crime', 'Drama']"
19185,Night of the Living Dead,1990-10-19,['Horror']
8428,Pump Up the Volume,1990-08-22,"['Music', 'Drama']"
11510,Repossessed,1990-09-14,"['Comedy', 'Horror']"
9086,Young Guns II,1990-08-01,"['Western', 'Adventure']"
10847,Lord of the Flies,1990-03-16,"['Adventure', 'Drama', 'Thriller']"
20481,Nightbreed,1990-02-16,"['Horror', 'Fantasy', 'Action']"
14864,The Hot Spot,1990-10-12,"['Romance', 'Crime', 'Thriller']"
14249,Revenge,1990-02-16,"['Thriller', 'Romance', 'Drama']"
2565,Joe Versus the Volcano,1990-03-09,"['Comedy', 'Romance']"
11630,3 Men and a Little Lady,1990-11-21,"['Family', 'Comedy']"
27274,Frankenhooker,1990-06-01,"['Comedy', 'Horror', 'Science Fiction']"
10729,Quick Change,1990-07-13,"['Comedy', 'Crime']"
60898,Erotic Ghost Story,1990-05-19,"['Fantasy', 'Drama', 'Horror']"
483,Wild at Heart,1990-08-17,"['Crime', 'Thriller', 'Romance']"
379,Miller's Crossing,1990-09-21,"['Drama', 'Thriller', 'Crime']"
12516,Dreams,1990-05-11,"['Fantasy', 'Drama']"
10173,Marked for Death,1990-10-05,"['Action', 'Crime']"
18311,Days of Being Wild,1990-12-15,"['Crime', 'Drama', 'Romance']"
530,A Grand Day Out,1990-05-18,"['Family', 'Animation', 'Comedy']"
